x,y,z,yaw,name
-16.195604,63.071499,0.3743068,-1.5140579,via176
-16.158087,61.640396,0.3764079,-0.0035389,via177
-9.1036692,61.894161,3.3290496,0.0011854,via178
-8.6252041,61.931019,3.3207793,-1.5883256,via179
-8.7491302,60.7444,3.3195457,-2.3929813,via180
-10.363839,59.526821,3.3003087,-2.3962128,via181
-12.220861,58.231701,3.3166652,-1.5462283,dry1-2-leaked-39
-12.216814,58.229397,3.3109088,-1.5463012,dry1-2-gauge-09
-12.216644,58.235168,3.3000369,-1.5456566,dry1-2-gauge-10
-13.380761027494287,58.24862713493123,0.0,-1.5413,via182
-13.311036,54.438293,3.2919345,-1.0198932,dry1-2-leaked-40
-13.285469,54.581829,3.2930079,-1.5520259,dry1-2-thermal-48
-14.434718,53.356819,3.2895713,-2.1218197,dry1-2-thermal-49
-14.437358,53.349506,3.2937207,-2.1227112,dry1-2-thermal-50
-13.419165,54.167007,3.2917643,1.4951713,via183
-13.546844,57.792801,3.3135209,0.5654235,via184
-10.427994,59.09499,3.2951725,1.5729706,dry1-2-thermal-51
-10.363129,56.047226,3.3114233,1.6066539,dry1-2-thermal-52
-10.242927,53.462067,3.2771239,1.6639173,dry1-2-thermal-53
-10.233282,53.466976,3.2690921,1.6597325,dry1-2-loto-14
-10.656166,59.447514,3.2677872,-2.7252283,via185
-8.9233475,60.435005,3.3151855,-1.8598931,via186
-9.0311089,61.562763,3.2967606,-0.8303546,via187
-9.957777,61.862873,3.2870538,0.0271908,via188
-16.20882,61.776878,0.3804214,0.0086832,via189
